label,rg_flx_isf_max,rg_ext_isf_max,mnp_flx_isf_max,mnp_ext_isf_max,ramp_weight_name,w_start,w_end,ramp_type,population,FLX_mean_hz,FLX_max_hz,FLX_cycle_freq_hz,FLX_burst_duration_ms,FLX_duty_cycle,FLX_n_peaks,EXT_mean_hz,EXT_max_hz,EXT_cycle_freq_hz,EXT_burst_duration_ms,EXT_duty_cycle,EXT_n_peaks,FLX_vs_EXT_alt_index,FLX_vs_EXT_overlap_ms,FLX_vs_EXT_overlap_frac_total,RG_F_mean_hz,RG_F_max_hz,RG_F_cycle_freq_hz,RG_F_burst_duration_ms,RG_F_duty_cycle,RG_F_n_peaks,RG_E_mean_hz,RG_E_max_hz,RG_E_cycle_freq_hz,RG_E_burst_duration_ms,RG_E_duty_cycle,RG_E_n_peaks,RG_F_vs_RG_E_alt_index,RG_F_vs_RG_E_overlap_ms,RG_F_vs_RG_E_overlap_frac_total
LEFT,167.884918573021,104.0986730572602,92.59433824696355,101.8794717668744,custom_v0d_rg_inh_R,0,-1,online,MNP_ipsilateral,9.844096112429739,92.59433824696355,nan,100.34218750002282,nan,1.0,86.68824777237714,101.8794717668744,4.373177842565598,84.98958333335281,0.3716745626823009,4.0,0.957382347000606,42.200000000009595,0.04262195737805231,,,,,,,,,,,,,,,
LEFT,167.884918573021,104.0986730572602,92.59433824696355,101.8794717668744,custom_v0d_rg_inh_R,0,-1,online,RG_ipsilateral,,,,,,,,,,,,,,,,78.42059943167182,167.88491857302103,3.148614609571789,71.98621307010843,0.22665684216029106,3.0,82.72464098620057,104.0986730572602,3.1904711262363077,62.96935387674515,0.2009019053815117,4.0,0.06271460311048271,928.100000000211,0.9373800626201504
LEFT,167.884918573021,104.0986730572602,92.59433824696355,101.8794717668744,custom_v0d_rg_inh_R,0,-1,online,MNP_contralateral,42.27482865414394,231.60666666666665,1.4806040864672787,77.64221775738466,0.11495738489396604,2.0,186.01200632868782,247.90666666666667,2.9065542799011777,207.6817977068449,0.6036384179824006,3.0,0.9396081599676833,59.8000000000136,0.060397939602074124,,,,,,,,,,,,,,,
LEFT,167.884918573021,104.0986730572602,92.59433824696355,101.8794717668744,custom_v0d_rg_inh_R,0,-1,online,RG_contralateral,,,,,,,,,,,,,,,,73.50846431937752,138.58541666666667,3.4207525655644235,52.69042316686175,0.18024090022871747,4.0,87.88109914663704,120.45381944444445,3.0266343825665856,242.77280321754228,0.7347845133702853,3.0,0.10563522520702884,885.6000000002014,0.8944551055450977
